Exp,Velocidad [m/s],Tiempo [s],X_esperada [m],Y_esperada [m],X_medido [m],Y_medido [m],,X,Y,Z,Theta,W
1,0.15,6.7,1.01,0,1.050,-0.010,,-0.045,0.010,0.000,-0.22,-0.03
2,0.15,6.7,1.01,0,1.083,-0.043,,-0.078,0.043,0.000,-0.50,-0.08
3,0.15,6.7,1.01,0,1.097,0.028,,-0.092,-0.028,0.000,0.30,0.04
4,0.15,6.7,1.01,0,1.094,0.014,,-0.089,-0.014,0.000,0.16,0.02
5,0.15,6.7,1.01,0,1.083,-0.046,,-0.078,0.046,0.000,-0.53,-0.08
6,0.15,6.7,1.01,0,1.073,-0.060,,-0.068,0.060,0.000,-0.72,-0.11
7,0.15,6.7,1.01,0,1.083,0.003,,-0.078,-0.003,0.000,0.04,0.01
8,0.15,6.7,1.01,0,1.080,0.049,,-0.075,-0.049,0.000,0.58,0.09
9,0.15,6.7,1.01,0,1.083,-0.090,,-0.078,0.090,0.000,-0.86,-0.13
10,0.15,6.7,1.01,0,1.065,0.058,,-0.060,-0.058,0.000,0.77,0.11
11,0.2,5,1,0,1.080,0.015,,-0.080,-0.015,0.000,0.19,0.04
12,0.2,5,1,0,1.070,0.015,,-0.070,-0.015,0.000,0.21,0.04
13,0.2,5,1,0,1.050,0.005,,-0.050,-0.005,0.000,0.10,0.02
14,0.2,5,1,0,1.065,0.033,,-0.065,-0.033,0.000,0.47,0.09
15,0.2,5,1,0,1.065,0.010,,-0.065,-0.010,0.000,0.15,0.03
16,0.2,5,1,0,1.068,0.021,,-0.068,-0.021,0.000,0.30,0.06
17,0.2,5,1,0,1.075,0.008,,-0.075,-0.008,0.000,0.11,0.02
18,0.2,5,1,0,1.078,-0.010,,-0.078,0.010,0.000,-0.13,-0.03
19,0.2,5,1,0,1.020,0.012,,-0.020,-0.012,0.000,0.54,0.11
20,0.2,5,1,0,1.080,-0.010,,-0.080,0.010,0.000,-0.12,-0.02
21,0.3,3.3,0.99,0,1.055,0.007,,-0.065,-0.007,0.000,0.11,0.03
22,0.3,3.3,0.99,0,1.025,0.025,,-0.035,-0.025,0.000,0.62,0.19
23,0.3,3.3,0.99,0,1.040,-0.115,,-0.050,0.115,0.000,-1.16,-0.35
24,0.3,3.3,0.99,0,1.040,-0.008,,-0.050,0.008,0.000,-0.16,-0.05
25,0.3,3.3,0.99,0,1.038,0.020,,-0.048,-0.020,0.000,0.39,0.12
26,0.3,3.3,0.99,0,1.020,0.037,,-0.030,-0.037,0.000,0.89,0.27
27,0.3,3.3,0.99,0,1.045,-0.034,,-0.055,0.034,0.000,-0.55,-0.17
28,0.3,3.3,0.99,0,1.028,0.020,,-0.038,-0.020,0.000,0.48,0.15
29,0.3,3.3,0.99,0,1.030,-0.033,,-0.040,0.033,0.000,-0.69,-0.21
30,0.3,3.3,0.99,0,1.020,-0.022,,-0.030,0.022,0.000,-0.63,-0.19
31,0.35,2.8,0.98,0,1.020,0.022,,-0.040,-0.022,0.000,0.50,0.18
32,0.35,2.8,0.98,0,1.000,0.038,,-0.020,-0.038,0.000,1.09,0.39
33,0.35,2.8,0.98,0,1.030,0.008,,-0.050,-0.008,0.000,0.16,0.06
34,0.35,2.8,0.98,0,1.052,0.026,,-0.072,-0.026,0.000,0.35,0.12
35,0.35,2.8,0.98,0,1.036,-0.058,,-0.056,0.058,0.000,-0.80,-0.29
36,0.35,2.8,0.98,0,1.000,-0.055,,-0.020,0.055,0.000,-1.22,-0.44
37,0.35,2.8,0.98,0,1.032,-0.043,,-0.052,0.043,0.000,-0.69,-0.25
38,0.35,2.8,0.98,0,1.050,0.050,,-0.070,-0.050,0.000,0.62,0.22
39,0.35,2.8,0.98,0,0.980,-0.026,,0.000,0.026,0.000,-1.57,-0.56
40,0.35,2.8,0.98,0,1.023,-0.058,,-0.043,0.058,0.000,-0.93,-0.33
